Date,Team,Opponent,WL,vs,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,W%,MIN1,FGM1,FGA1,FG_PCT1,FG3M1,FG3A1,FG3_PCT1,FTM1,FTA1,FT_PCT1,OREB1,DREB1,REB1,AST1,STL1,BLK1,TOV1,PF1,PTS1,W%1
"DEC 03, 2013",MEM,PHX,W,0,3650.0,38.060438543419231,82.45689427961949,0.46235711958907227,5.2881782824269097,14.282627037559315,0.36527030182027742,14.828327920556566,20.035093019704686,0.73928233915051522,11.713291815325229,30.835650656443519,42.548942471768747,21.511358634715069,7.8126028363329008,4.8298212829147475,12.339113266234763,19.131454856579101,96.237383289821935,0.58099999999999996,3865.0,39.015208064688053,84.937629818011018,0.4609100027623883,9.4912103746938197,25.082481320223064,0.38166257406364912,19.278753205993521,25.298548458279523,0.75828539191709643,12.06957290498919,31.781745192854466,43.851318097843652,19.512398512268017,8.2760612720030995,4.7529287457244775,14.478394616218104,22.51324474875171,106.80037971006347,0.58999999999999997
"DEC 05, 2013",MEM,LAC,L,0,3890.0,38.09421622445889,82.546351562891942,0.46226461335282759,5.2601156313191542,14.270866825060288,0.363602601850118,14.923874279909951,20.166815856093287,0.73910663979232694,11.806952336887939,30.898530175401607,42.705482512289549,21.536135005775972,7.842317636928521,4.8598183531264638,12.328279057484515,19.133609854227938,96.372422360146885,0.58099999999999996,4345.0,38.941993715950922,81.991269313134211,0.47548253541700575,8.3339603096714185,23.569520352464384,0.35021515343251319,21.851508816433515,29.685357638184954,0.73992087523386141,10.346071712046756,32.700174938096353,43.046246650143104,24.289389943372043,8.4238244149508059,4.7029143274570533,13.15363973326469,20.889017538213643,108.06945655800678,0.68799999999999994
"DEC 07, 2013",MEM,GSW,L,0,4130.0,37.964613211745103,82.522521260644282,0.46085911521107065,5.2643798219965179,14.275307264815376,0.36371084122471009,14.955413202531425,20.153157099635798,0.74107560110039783,11.803787621099216,30.896866735654093,42.700654356753311,21.462956891116562,7.8561261227798083,4.8247334080957502,12.399234451869505,19.135800179707083,96.149019448018151,0.58099999999999996,4610.0,39.079118295496357,86.683784994474166,0.45135213664188961,8.6733153919240813,24.583475508912009,0.35296866914576874,16.526422590040081,21.820174131387024,0.75921489809278464,12.013968201986275,34.455857872947895,46.469826074934161,22.774269342697917,7.9442527037854971,5.2368854705780263,14.653240608157621,21.661799363035207,103.35797457295691,0.61899999999999999
"DEC 09, 2013",MEM,ORL,W,0,4370.0,38.111574084068792,82.613054396064669,0.46223385480469475,5.301500802684985,14.296213941287759,0.36588642878577093,14.872715058310629,20.057307216023272,0.7406178240692568,11.816964467346745,30.960749796894323,42.777714264241069,21.552513561462732,7.8537675346286582,4.8874339557694517,12.34020550845753,19.138026412161299,96.3973640291332,0.58099999999999996,4635.0,36.507611313828924,83.67403019026905,0.4362369752111328,6.5542572400206947,19.279475366002163,0.34377732378966286,16.408397459155097,21.335538853455247,0.77336274198980159,9.6546869387395766,32.796866134115568,42.451553072855148,20.715157903016404,7.7913196465091437,4.1289608283533754,12.897915588913909,19.856467562732711,95.977877326833635,0.29699999999999999
"DEC 11, 2013",MEM,OKC,L,0,4610.0,38.228157265774833,82.573924140262463,0.46382785242444385,5.3556237666634274,14.366643678030181,0.36860587843799669,14.821448092053426,20.025459793335127,0.73934926380809707,11.731996671729478,31.09125389192538,42.823250563654852,21.692718701814581,7.8513702810979806,4.8691951681591146,12.411356418432243,19.287830123836073,96.633386390266523,0.58099999999999996,4610.0,39.564183804541052,82.12424056833801,0.48280246526724968,8.103659877161963,22.053840256957475,0.37058837587245103,18.869405774784614,23.602044306986738,0.79907543093475519,10.846506313205598,33.464881615095806,44.3113879283014,22.017830599241147,8.4850510951086271,6.1003495280411046,15.10596592479472,21.914866940999516,106.10143326102869,0.74199999999999999
"DEC 13, 2013",MEM,NOP,L,0,4850.0,38.264684434066226,82.51775896223397,0.46456273525107405,5.2794864513628275,14.323473902260185,0.36500925349435726,14.867701339464139,20.075057494865209,0.73989597305085264,11.743996617167667,30.928815431137274,42.672812048304934,21.671287860860723,7.9145074988208979,4.8834442692764766,12.385313081029494,19.259761765210435,96.676556658959441,0.58099999999999996,4660.0,37.480991953127635,81.444782398544348,0.46158287087058408,5.9955111817622875,16.104958164503905,0.37751924922227331,17.289386175791911,22.665723722649695,0.76260776221099502,11.28362637879132,30.202145129869425,41.485771508660747,20.944663108440569,7.3296865218119525,5.9831485143650864,13.090665542398241,23.177297588778387,98.246881263809485,0.40300000000000002
"DEC 15, 2013",MEM,MIN,L,1,5090.0,38.334597293641089,82.542640256696828,0.46529327189453429,5.2676747538441848,14.312383310493956,0.36443563469918283,14.68520464011109,19.846779748879399,0.73948443162545685,11.788980168268775,31.042402569352639,42.831382737621411,21.747866350383028,7.8639256545392726,4.9143204048383859,12.391629688915224,19.165659499066344,96.622073981237435,0.58099999999999996,5280.0,38.803815328831767,87.064343793660839,0.44650774238184304,7.2320433636014627,21.074863508837144,0.3399610155629294,21.709761919237462,28.335734148269339,0.76918145486585265,12.668089932233222,33.220218226127365,45.888308158360587,23.312755633769608,8.2123781024869835,3.7144135770703004,12.926517140965139,18.839281365679383,106.54943594050245,0.50800000000000001
"DEC 17, 2013",MEM,LAL,L,0,5330.0,38.307295609930286,82.584322883855776,0.46472430913870699,5.2556694219399915,14.301110905747956,0.36385261231720223,14.729224388309634,19.893448269352827,0.740033356734071,11.785520826764985,31.059491136063333,42.845011962828316,21.710946126618815,7.9436621406792618,4.9620961491799989,12.41444329037285,19.201162113805136,96.599485030110188,0.58099999999999996,5520.0,37.981712761989222,83.624422249612095,0.45524116967412404,9.1054971955200852,24.117662818364366,0.37347692399499788,17.354975594077501,22.880752181100242,0.75609801934752652,8.7242685456750433,32.19670751918855,40.920976064863595,23.683406580288384,6.9864628953497396,5.606204777735937,15.378486004209797,19.823279849748403,102.42389831357602,0.33300000000000002
"DEC 18, 2013",MEM,DAL,L,0,5570.0,38.328726685502907,82.577508504902596,0.46503126502622671,5.2598607239390072,14.289653707481529,0.3643583928469924,14.741178886478643,19.891701519670086,0.74068964127069514,11.765611332121789,31.011286072720111,42.776897404841904,21.78817475164535,7.9919188970838402,5.0106551024452441,12.470417770542896,19.188066410752764,96.658492981423478,0.58099999999999996,5520.0,39.870859155808773,83.124636760605895,0.48026032393661627,8.288608883537222,22.014279626382596,0.37137271607577887,16.867764890386177,21.264170766569375,0.78420515386963952,10.031441493335651,29.847984592547256,39.879426085882905,23.928723189498964,8.6629808174619729,4.1659933369521829,12.43128733790804,19.961243268683685,104.89809208554095,0.58699999999999997
"DEC 21, 2013",MEM,NYK,W,1,5810.0,38.35050909018328,82.439434873835424,0.46598259723977148,5.26412073580686,14.261615243669752,0.36520033371333654,14.769722802650424,19.939106462615499,0.74029111079972276,11.663408239205753,31.011471090305683,42.674879329511434,21.817489091836258,7.9589995347409523,5.0600101041246752,12.445342652027207,19.207542909289693,96.734861718823865,0.58099999999999996,5835.0,37.607972298022347,83.591686514712521,0.45056974071763894,9.3797610567172516,24.727634309001711,0.37497484040519491,15.079396190488142,20.434025891213395,0.73965457618811969,11.077567214403846,30.845418332386544,41.922985546790386,20.642146737752515,7.1968135134051092,4.5726778032597784,12.71790225981589,22.109395545037767,99.675101843250076,0.375
