Date,Team,Opponent,WL,vs,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN1,FGM1,FGA1,FG_PCT1,FG3M1,FG3A1,FG3_PCT1,FTM1,FTA1,FT_PCT1,OREB1,DREB1,REB1,AST1,STL1,BLK1,TOV1,PF1,PTS1
"FEB 23, 2014",DEN,SAC,L,1,240.47169811320754,37.493306203951185,85.575113798478455,0.43938715327457772,8.6295527359811146,24.10589640115932,0.35581790745128378,19.117992752226712,26.864718031143397,0.71317782699926791,12.711075857909126,32.241976161713666,44.953052019622795,21.375150823242706,7.3287956508013101,5.5712587113744316,15.516135803999767,23.607667909631047,102.7341578961102,242.31481481481481,37.555854288410245,82.222320236995316,0.45847085467345339,5.9461149424072062,17.378817364895191,0.33668277641774852,22.179609819217728,28.397928642023992,0.7841087992000183,12.100535241909224,32.157301200627082,44.257836442536309,18.914376801984989,7.1583122213704202,4.1452291649519415,14.983772519112414,23.003475794814776,103.23743333844541
"FEB 25, 2014",DEN,POR,L,0,240.46296296296296,37.535565631136798,85.550963184893362,0.44002083383855362,8.6571722738791017,24.260233628297613,0.35393346520469537,19.238636697179711,26.947170879128876,0.71602829864332329,12.723127991094026,32.313874062759659,45.037002053853683,21.534051684653598,7.3682667635267567,5.5300936047875568,15.541833021016712,23.617967365726493,102.96694023333241,241.81818181818181,39.345865095240889,87.394826087413648,0.4502191724373974,9.349331680956789,25.549523476521685,0.36184422896940466,19.688507749090643,23.639952576510037,0.83284862343156063,12.317071421905382,34.727792661348026,47.044864083253401,23.087949029525699,5.5688683524844329,5.074155671905114,13.456864545684081,19.596253543164433,107.72956962052922
"FEB 27, 2014",DEN,BKN,L,0,240.45454545454547,37.612439624884878,85.509454086332212,0.44112288186971554,8.5496667191990845,24.129051147421304,0.3519831849539275,19.327427149674278,27.047970385554791,0.71685928675592203,12.769282702807486,32.353092267213214,45.122374970020694,21.509205103037555,7.3067119629085662,5.505179937072092,15.483220021372929,23.543695626162531,103.10197311864312,242.31481481481481,35.631575288223154,78.052029628368786,0.45677160396661931,8.6556175119925829,23.83634753954334,0.3538980583777524,18.283411990249046,23.822094546021429,0.76919578850197179,8.5757995763261139,28.958379528600492,37.534179104926601,21.028266968845287,9.5315707324621552,3.8316779387178332,13.791116721772687,21.424003073174173,98.202180078687917
"MAR 01, 2014",DEN,POR,L,0,240.44642857142858,37.622819957510053,85.213004155592088,0.44251479512174463,8.6267797144397473,24.199035065174208,0.35455917113958729,19.366875067465372,27.065732595479446,0.71792469839585293,12.528084104549984,32.274331119199879,44.802415223749868,21.551734003089038,7.3119104707544729,5.5137423088868722,15.491410191226707,23.519012501182235,103.23929469692521,241.75438596491227,39.52387889427537,87.659207742018395,0.45105098351098771,9.2432953291222777,25.417160237815885,0.35969399333198737,19.562760370657301,23.530073204776066,0.83091436883023251,12.411061878030534,34.752254581354443,47.163316459384973,23.258682871906981,5.554933094331826,4.9260925708774801,13.489164715136241,19.515183176143012,107.85381348833035
"MAR 03, 2014",DEN,MIN,L,1,240.43859649122808,37.75202029577293,85.30136015822923,0.4436591136831301,8.6713014045149972,24.236306845939868,0.35594152997246159,19.305296678778344,26.965151792013,0.7182793543008672,12.50313637750846,32.295929951728688,44.799066329237142,21.67972949466682,7.334146241445227,5.5055006531052948,15.347196804637329,23.544758475778547,103.4806386748392,240.43859649122808,38.503568866057883,86.695078278662706,0.44497419943856875,7.1033896179494507,21.24110762438201,0.33148902535463004,22.463876883263797,29.12778362434566,0.77379186188798943,12.717684517607831,32.891986869025089,45.609671386632911,23.02283302200172,8.2207197825092813,3.6132072949929581,13.185479601720733,19.004678606461614,106.57440423332899
"MAR 05, 2014",DEN,DAL,W,0,240.43103448275863,37.832563012650439,85.340366262605997,0.444432996965895,8.699628546964405,24.257261199260885,0.35682189488724914,19.242674588588145,26.828967924081017,0.71931798742461084,12.545562417805213,32.334844018707145,44.880406436512352,21.708199486101851,7.3906571946900614,5.5649159184121642,15.420878106410843,23.537042517740893,103.60742916085343,240.41666666666666,39.9525550338562,83.682320024553903,0.47822053370895712,8.4033044071085339,22.210283795389142,0.37541475521673634,16.449035978715475,20.58363995143813,0.79227141987361471,10.087934116054338,29.880315577493498,39.96824969354784,23.941383956209528,8.4502482813199258,4.1644137791031142,12.452207340847581,20.19235328892076,104.75745045353638
"NOV 03, 2013",DET,BOS,W,1,265.0,38.950000000000003,86.816666666666663,0.44906666666666673,5.75,18.600000000000001,0.29943333333333327,16.916666666666668,25.366666666666667,0.66884999999999972,14.449999999999999,30.366666666666667,44.81666666666667,20.883333333333333,8.8333333333333339,5.2000000000000002,14.166666666666666,20.149999999999999,100.56666666666666,240.0,36.399999999999999,83.933333333333337,0.43540000000000006,6.4666666666666668,19.783333333333335,0.32229999999999998,16.216666666666665,21.016666666666666,0.78076666666666661,11.783333333333333,31.333333333333332,43.116666666666667,20.433333333333334,7.0666666666666664,4.4666666666666668,14.383333333333333,21.149999999999999,95.483333333333334
"NOV 05, 2013",DET,IND,L,0,252.5,38.899166666666666,86.780277777777783,0.4486844444444445,5.729166666666667,18.559999999999999,0.29887388888888877,16.915277777777778,25.389444444444447,0.66819749999999989,14.440833333333334,30.439444444444447,44.880277777777778,20.881388888888885,8.81388888888889,5.1866666666666665,14.08611111111111,20.052500000000002,100.44277777777778,240.0,36.964166666666664,81.606944444444451,0.45436583333333336,6.746666666666667,19.306111111111115,0.34773611111111108,18.290000000000003,23.323888888888892,0.78616555555555545,10.422500000000001,35.151388888888889,45.573888888888888,20.457222222222224,7.1519444444444442,5.3916666666666666,14.373333333333333,20.270555555555557,98.964999999999989
"NOV 08, 2013",DET,OKC,L,0,248.33333333333334,38.98081944444445,86.959949074074075,0.44871251851851851,5.7913194444444445,18.652666666666665,0.30128845370370361,16.913865740740739,25.329268518518518,0.66956745833333309,14.43151388888889,30.463435185185183,44.89494907407407,20.962745370370371,8.7107870370370382,5.1564444444444444,13.970879629629628,20.136708333333331,100.66682407407407,240.0,39.520096395733567,82.237367885417711,0.48193386671131061,7.7085747265189593,21.018041157629934,0.36888887175578577,19.462937426480632,24.259708962424167,0.80018448240161066,10.949471541670889,34.115282776972521,45.064754318643416,22.048083319749232,8.2701459593534263,6.2190756054471521,15.289539653098718,21.781479507095305,106.2117049444667
"NOV 11, 2013",DET,POR,L,0,246.25,39.080499768518514,86.959281558641976,0.44987439382716055,5.8045081018518516,18.546877777777777,0.30297659459876536,16.862430169753086,25.334756327160495,0.6673935826388887,14.455372453703704,30.487825771604939,44.943198225308635,21.095457793209878,8.6893001543209873,5.1423851851851854,13.970394290123457,20.072320138888887,100.82793780864198,240.0,39.607748742283952,87.741068267746911,0.4518653325694445,9.4124160095164591,25.052536958590533,0.37290629180812751,19.349206490483539,23.350938591820988,0.82796714048611109,12.708506529063786,34.114299610339508,46.822806139403291,23.400621494341564,5.6771875475823048,4.7883490625,13.432744632201645,19.237525183899177,107.97711998456791
"NOV 12, 2013",DET,GSW,L,1,245.0,39.081841431327156,86.891936251286012,0.45022230039094652,5.7179165702160493,18.33932574074074,0.30210953784207811,16.793470672582306,25.307002265946501,0.6655501423495368,14.429628661265433,30.562622867798357,44.992251529063786,21.080382089763376,8.6674551568930038,5.1280916049382723,13.986567528292181,19.956858807870372,100.67507010545268,240.0,38.813634710401708,85.831198982909882,0.45296816784192012,8.8978780846557139,24.251613368512572,0.3685747382817624,16.551159763262422,22.101343801491328,0.75002026686426393,11.646742662456719,34.090405306265126,45.737147968721843,22.60701589994023,7.6734127916637007,5.0962106204871098,14.773539800579711,21.654843991555676,103.07630726872156
