Date,Team,Opponent,W/L,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FGM1,FGA1,FG%1,3FGM1,3FGA1,3FG%1,FTM1,FTA1,FT%1,OREB1,DREB1,REB1,AST1,STL1,BLK1,TOV1,PF1,PTS1
2013/12/18,POR  ,MIN,L,39.807692307692299,86.769230769230802,0.46000000000000002,10.0769230769231,24.307692307692299,0.41449999999999998,18.615384615384603,22.769230769230798,0.81838461538461993,13.192307692307699,32.807692307692299,46.0,23.692307692307701,6.0,4.6538461538461506,13.884615384615399,18.538461538461497,108.30769230769199,37.719999999999999,89.200000000000003,0.42416000000000004,8.1600000000000001,24.079999999999998,0.33860000000000001,21.559999999999999,27.0,0.79979999999999996,13.48,31.920000000000002,45.399999999999999,23.0,9.3200000000000003,3.0,13.56,17.039999999999999,105.16
2013/12/21,POR  ,NOP,W,39.814814814814795,87.037037037036995,0.45874074074074001,10.2222222222222,24.888888888888896,0.41211111111110998,18.481481481481499,22.629629629629601,0.81729629629629996,13.074074074074099,32.8888888888889,45.962962962962997,23.518518518518501,5.9629629629629601,4.6296296296296298,13.851851851851899,18.851851851851901,108.333333333333,38.7916666666667,86.9583333333333,0.44791666666667002,6.5833333333333304,17.25,0.37716666666666998,18.0416666666667,23.4583333333333,0.77804166666666996,13.375,30.0833333333333,43.4583333333333,22.5833333333333,9.0,6.4583333333333304,12.875,21.6666666666667,102.208333333333
2013/12/26,POR  ,LAC,W,39.928571428571402,87.428571428571416,0.45803571428570999,10.1428571428571,25.035714285714302,0.40725,18.3928571428571,22.464285714285698,0.81985714285713995,13.214285714285701,32.714285714285701,45.928571428571395,23.5,5.8571428571428612,4.5714285714285703,13.607142857142902,18.928571428571399,108.392857142857,37.933333333333294,81.466666666666697,0.46676666666666999,8.0,24.033333333333303,0.33239999999999997,21.133333333333301,29.3333333333333,0.72130000000000005,10.233333333333301,32.600000000000001,42.8333333333333,23.6666666666667,8.3000000000000007,4.5999999999999996,13.866666666666699,22.1666666666667,105.0
2013/12/28,POR  ,MIA,L,40.0,87.724137931034505,0.45734482758620998,10.241379310344801,25.413793103448299,0.40565517241379001,18.413793103448299,22.448275862069,0.82137931034483003,13.2758620689655,33.137931034482797,46.413793103448299,23.689655172413801,5.7241379310344804,4.4827586206896504,13.689655172413799,18.620689655172399,108.655172413793,39.137931034482797,76.551724137931004,0.51220689655172003,8.2758620689655196,21.965517241379299,0.37965517241378999,18.034482758620697,23.896551724137897,0.75258620689655009,6.5862068965517198,29.931034482758601,36.517241379310299,24.103448275862103,9.6551724137930997,4.9655172413793096,14.931034482758601,20.310344827586199,104.58620689655199
2013/12/30,POR  ,NOP,L,39.966666666666704,87.366666666666703,0.45896666666667002,10.266666666666699,25.433333333333302,0.40623333333333,18.399999999999999,22.399999999999999,0.82256666666667,13.066666666666698,33.1666666666667,46.233333333333299,23.966666666666697,5.7333333333333298,4.5333333333333306,13.800000000000001,18.399999999999999,108.59999999999999,39.25,87.357142857142904,0.45089285714285998,6.8928571428571388,17.6428571428571,0.38532142857142998,17.321428571428598,22.571428571428598,0.77235714285713997,13.535714285714299,30.428571428571402,43.964285714285708,23.142857142857103,8.8928571428571406,6.1785714285714288,12.9285714285714,21.892857142857103,102.71428571428601
2013/12/31,POR  ,OKC,W,39.935483870967701,87.387096774193594,0.45845161290322994,10.322580645161301,25.645161290322598,0.40522580645160994,18.387096774193498,22.451612903225797,0.82022580645161003,12.967741935483902,33.0,45.967741935483893,24.0,5.709677419354839,4.67741935483871,13.6451612903226,18.2258064516129,108.58064516128999,39.133333333333297,83.099999999999994,0.47226666666667,6.9000000000000004,19.533333333333303,0.35573333333333002,20.899999999999999,25.566666666666698,0.81186666666666996,10.9,36.5,47.399999999999999,22.233333333333302,7.9666666666666694,6.2999999999999998,15.4,22.300000000000001,106.066666666667
2014/01/02,POR  ,CHA,W,39.8125,87.5,0.45650000000000002,10.25,25.875,0.40012500000000001,18.375,22.40625,0.82137499999999997,12.875,33.0,45.875,24.0625,5.6875,4.625,13.40625,18.34375,108.25,34.515151515151501,82.272727272727295,0.41993939393939006,5.0909090909090899,15.727272727272698,0.32396969696970002,18.181818181818198,25.060606060606101,0.72612121212120995,10.606060606060598,32.909090909090899,43.515151515151501,19.363636363636399,6.39393939393939,5.1818181818181799,12.575757575757599,19.1212121212121,92.303030303030297
2014/01/04,POR  ,PHI,L,40.2424242424242,87.6666666666667,0.46027272727272994,10.575757575757599,26.090909090909101,0.40727272727272995,17.969696969697001,21.939393939393899,0.81812121212120992,12.8484848484848,33.212121212121204,46.060606060606098,24.363636363636399,5.7575757575757596,4.5454545454545494,13.454545454545499,18.545454545454501,109.030303030303,39.6875,89.28125,0.44634374999999998,7.46875,22.78125,0.32874999999999999,16.5,23.03125,0.71325000000000005,12.15625,33.40625,45.5625,23.0625,8.84375,4.46875,17.3125,21.53125,103.34375
2014/01/07,POR  ,SAC,L,40.117647058823501,88.0,0.45744117647059002,10.352941176470599,25.970588235294105,0.39929411764706002,18.147058823529399,22.176470588235301,0.81758823529412006,13.029411764705902,33.411764705882398,46.441176470588211,24.411764705882398,5.7941176470588207,4.6764705882352899,13.588235294117599,18.588235294117602,108.735294117647,37.15625,83.59375,0.44568750000000001,6.875,20.21875,0.33890625000000002,19.4375,25.1875,0.76621874999999995,11.65625,31.21875,42.875,20.3125,7.96875,3.8125,14.3125,22.8125,100.625
2014/01/08,POR  ,ORL,W,40.085714285714296,88.057142857142907,0.45674285714286,10.342857142857099,26.0,0.39845714285714001,18.514285714285702,22.571428571428598,0.81882857142857002,13.057142857142901,33.514285714285698,46.571428571428605,24.399999999999999,5.71428571428571,4.71428571428571,13.657142857142901,19.1142857142857,109.028571428571,36.470588235294102,82.617647058823493,0.44285294117647001,7.3823529411764692,21.0588235294118,0.35076470588234998,15.5588235294118,20.794117647058801,0.75397058823529006,9.5588235294117592,33.323529411764696,42.882352941176499,20.294117647058801,7.6470588235294104,4.4705882352941204,14.794117647058801,20.382352941176499,95.882352941176492
2014/01/11,POR  ,BOS,W,40.222222222222207,88.25,0.45722222222221998,10.3055555555556,26.111111111111104,0.39572222222221998,18.3055555555556,22.3055555555556,0.81958333333333,13.0,33.5833333333333,46.5833333333333,24.4722222222222,5.7222222222222197,4.8333333333333304,13.4722222222222,19.0277777777778,109.055555555556,36.270270270270295,81.540540540540505,0.44718918918918998,6.4594594594594597,18.864864864864899,0.33500000000000002,16.081081081081098,21.108108108108102,0.77154054054054011,10.5675675675676,31.405405405405396,41.972972972972997,19.297297297297302,6.7297297297297298,4.7027027027027,15.054054054054101,21.891891891891898,95.081081081081081
2014/01/15,POR  ,CLE,W,40.216216216216203,88.378378378378414,0.45648648648648998,10.297297297297302,25.972972972973,0.39789189189189,18.405405405405396,22.405405405405396,0.82029729729730005,13.1891891891892,33.459459459459502,46.648648648648603,24.594594594594604,5.6486486486486509,4.7837837837837807,13.4054054054054,18.891891891891898,109.135135135135,36.394736842105296,85.552631578947413,0.42578947368421005,7.3157894736842097,19.7631578947368,0.36599999999999999,16.052631578947402,21.552631578947395,0.74778947368421,12.0,32.447368421052602,44.447368421052602,19.394736842105299,7.1052631578947398,4.3684210526315805,14.2631578947368,19.947368421052602,96.157894736842096
2014/01/17,POR  ,SAS,W,40.263157894736793,88.368421052631589,0.45702631578947001,10.315789473684198,26.0,0.39813157894737,18.2631578947368,22.2631578947368,0.81884210526316004,13.1315789473684,33.552631578947398,46.684210526315795,24.657894736842103,5.6578947368421098,4.7368421052631602,13.473684210526303,18.710526315789501,109.105263157895,40.871794871794897,82.974358974358992,0.49441025641025999,8.1794871794871788,20.5128205128205,0.39841025641025996,14.8205128205128,19.153846153846199,0.76428205128205007,9.1282051282051313,33.820512820512803,42.948717948717899,25.256410256410302,7.6153846153846105,4.7435897435897401,14.2564102564103,17.5128205128205,104.74358974359001
2014/01/18,POR  ,DAL,W,40.282051282051299,88.307692307692292,0.45753846153846001,10.2564102564103,25.743589743589698,0.40074358974359003,18.282051282051302,22.205128205128197,0.82220512820512992,13.0,33.692307692307701,46.692307692307701,24.564102564102601,5.5897435897435903,4.7179487179487198,13.4102564102564,18.8205128205128,109.10256410256399,39.634146341463399,84.097560975609795,0.47207317073171007,8.7073170731707297,22.878048780487799,0.37787804878049003,15.8780487804878,20.0,0.78182926829268007,9.8048780487804894,30.390243902439,40.195121951219498,23.756097560975601,9.5609756097561007,4.3658536585365901,13.487804878048802,20.0731707317073,103.853658536585
2014/01/20,POR  ,HOU,L,40.424999999999997,88.349999999999994,0.45887499999999998,10.225,25.75,0.39937499999999998,18.475000000000001,22.350000000000001,0.82487500000000002,13.025,33.875,46.899999999999999,24.600000000000001,5.5999999999999996,4.7000000000000002,13.449999999999999,18.850000000000001,109.55,37.190476190476204,78.785714285714292,0.47359523809524001,8.8333333333333304,25.809523809523803,0.34059523809524,21.904761904761894,31.785714285714302,0.69607142857143001,10.904761904761902,34.119047619047606,45.023809523809497,20.0,7.4285714285714288,6.0476190476190492,15.380952380952401,20.3571428571429,105.119047619048
2014/01/21,POR  ,OKC,L,40.512195121951201,88.560975609756085,0.45875609756097996,10.170731707317099,25.731707317073198,0.39743902439024004,18.439024390243897,22.341463414634102,0.82360975609756004,13.048780487804899,33.609756097561004,46.658536585365894,24.512195121951198,5.7560975609756104,4.6585365853658498,13.390243902439,18.951219512195102,109.63414634146299,38.634146341463399,82.902439024390205,0.46739024390243999,7.0,20.414634146341502,0.34741463414634005,21.0731707317073,25.951219512195102,0.80909756097561003,11.219512195122002,35.536585365853703,46.756097560975597,21.487804878048802,8.2195121951219505,6.1463414634146298,15.365853658536599,22.512195121951198,105.34146341463399
2014/01/23,POR  ,DEN,W,40.5,88.5,0.45890476190475998,10.095238095238098,25.571428571428598,0.3967380952381,18.238095238095202,22.190476190476197,0.81888095238095004,13.047619047618999,33.571428571428598,46.619047619047606,24.476190476190499,5.71428571428571,4.6666666666666696,13.285714285714299,18.785714285714299,109.333333333333,38.174999999999997,84.875,0.45040000000000002,8.1999999999999993,22.774999999999999,0.35765000000000002,18.774999999999999,25.725000000000001,0.73475000000000001,12.475,33.450000000000003,45.924999999999997,22.125,7.1500000000000004,5.8499999999999996,14.15,22.5,103.325
