Date,Team,Opponent,W/L,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2013/10/30,BKN,CLE,L,33,82,0.402,9,24,0.375,19,24,0.792,9,28,37,24,8,8,15,27,94
2013/11/01,BKN,MIA,W,33,75,0.4435,8.5,20,0.4375,23,31.5,0.742,8,30.5,38.5,22.5,6.5,6.5,16.5,28,97.5
2013/11/03,BKN,ORL,L,33.3333333333333,79.6666666666667,0.423,7,19,0.37,20,26,0.80566666666667,9,30.6666666666667,39.6666666666667,22.6666666666667,6,7,15,26.3333333333333,93.6666666666667
2013/11/05,BKN,UTA,W,35,79.25,0.4455,6.25,17,0.3685,20,27.5,0.7605,9.5,30,39.5,22.75,7.25,6,15,26.5,96.25
2013/11/08,BKN,WAS,L,36.2,81,0.4496,6.2,18.4,0.3448,20,27.8,0.7464,9.8,32,41.8,22.8,8,5.4,16.2,26.6,98.6
2013/11/09,BKN,IND,L,36,80.1666666666667,0.4515,6.5,18.5,0.3575,18.8333333333333,25.8333333333333,0.7575,9.33333333333333,31.8333333333333,41.1666666666667,22.3333333333333,8.16666666666667,4.83333333333333,16,25.6666666666667,97.3333333333333
2013/11/13,BKN,SAC,L,35.2857142857143,80.4285714285714,0.441,6,17.7142857142857,0.33942857142857,19.1428571428571,26,0.76042857142857,9.42857142857143,33.2857142857143,42.7142857142857,21.1428571428571,7.28571428571429,5.14285714285714,15.8571428571429,25.2857142857143,95.7142857142857
2013/11/15,BKN,PHX,W,35.625,81.25,0.4405,5.5,17,0.317875,19.5,26.375,0.76025,10,33.5,43.5,20.25,7.375,5,15.375,25.25,96.25
2013/11/16,BKN,LAC,L,35.6666666666667,81.6666666666667,0.43866666666667,5.88888888888889,17.6666666666667,0.326,19.7777777777778,27.1111111111111,0.74988888888889,10.6666666666667,32.3333333333333,43,20.6666666666667,7.33333333333333,4.55555555555556,14.8888888888889,25.3333333333333,97
2013/11/18,BKN,POR,L,35.2,82,0.4313,5.6,17.2,0.3165,21.1,27.9,0.7692,11,31.7,42.7,19.8,7.5,4.5,14.1,24.6,97.1
2013/11/20,BKN,CHA,L,34.9090909090909,80.6363636363636,0.43554545454545,5.90909090909091,17.3636363636364,0.33081818181818,20.8181818181818,27.6363636363636,0.76472727272727,10.5454545454545,31.5454545454545,42.0909090909091,19.9090909090909,7.36363636363636,4.54545454545455,14.3636363636364,24.8181818181818,96.5454545454545
2013/11/22,BKN,MIN,L,34.5833333333333,80.4166666666667,0.43233333333333,5.83333333333333,17.25,0.32933333333333,20.25,27,0.75933333333333,10.5,32,42.5,18.8333333333333,7.16666666666667,4.33333333333333,14.8333333333333,24.25,95.25
2013/11/24,BKN,DET,L,34.6153846153846,80.1538461538462,0.43407692307692,6.46153846153846,17.9230769230769,0.34538461538462,19.6923076923077,26.3076923076923,0.75646153846154,10.3076923076923,31.6153846153846,41.9230769230769,19.1538461538462,7.07692307692308,4.15384615384615,15,24.5384615384615,95.3846153846154
2013/11/26,BKN,TOR,W,34.9285714285714,79.9285714285714,0.43921428571429,6.28571428571429,17.6428571428571,0.34114285714286,19.7142857142857,26,0.76735714285714,10.3571428571429,31.3571428571429,41.7142857142857,19.5714285714286,7.07142857142857,4.07142857142857,15,24.0714285714286,95.8571428571429
2013/11/27,BKN,LAL,L,34.6666666666667,80.1333333333333,0.4348,6.6,18.4666666666667,0.34286666666667,19.8,26,0.77006666666667,10.4,31.4666666666667,41.8666666666667,19.6666666666667,7,4.46666666666667,14.8,24,95.7333333333333
2013/11/29,BKN,HOU,L,34.8125,80.6875,0.433625,6.5625,18.6875,0.3385,19.5,25.8125,0.7626875,10.6875,31.3125,42,19.9375,7.1875,4.375,14.5625,23.375,95.6875
2013/11/30,BKN,MEM,W,34.7647058823529,80.2352941176471,0.43552941176471,6.70588235294118,18.6470588235294,0.348,19.5294117647059,25.8235294117647,0.76305882352941,10.5294117647059,31.2941176470588,41.8235294117647,20,7.11764705882353,4.35294117647059,14.4117647058824,22.5882352941176,95.7647058823529
2013/12/03,BKN,DEN,L,34.5,79.9444444444444,0.43355555555556,6.44444444444444,18.5,0.33561111111111,19.8333333333333,26.2777777777778,0.7615,10.5555555555556,31,41.5555555555556,19.7222222222222,7.11111111111111,4.33333333333333,14.2222222222222,22.3888888888889,95.2777777777778
2013/12/05,BKN,NYK,L,34.2105263157895,79.5789473684211,0.43163157894737,6.31578947368421,18.3684210526316,0.33110526315789,19.8947368421053,26.5263157894737,0.75705263157895,10.7894736842105,30.4210526315789,41.2105263157895,19.2631578947368,6.89473684210526,4.26315789473684,14.3157894736842,22.5263157894737,94.6315789473684
2013/12/07,BKN,MIL,W,34.2,79.3,0.433,6.25,18.35,0.32845,19.75,26.35,0.75615,10.8,30.4,41.2,19.1,6.85,4.35,14,22.45,94.4
