Date,Team,Opponent,W/L,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2013/10/30,CHA,HOU,L,33,90,0.367,4,10,0.4,13,20,0.65,12,25,37,14,8,6,7,21,83
2013/11/01,CHA,CLE,W,33,81.5,0.4095,3.5,11,0.325,17,27,0.634,8.5,28.5,37,17.5,7.5,7,11,20.5,86.5
2013/11/02,CHA,NOP,L,32,81,0.398,3.33333333333333,14.3333333333333,0.26433333333333,18.3333333333333,30,0.617,10.3333333333333,28,38.3333333333333,16,7.66666666666667,6,11.6666666666667,21,85.6666666666667
2013/11/05,CHA,NYK,W,31.5,78.5,0.40425,4.5,16,0.2935,22.25,33,0.66525,11.75,29.75,41.5,16.25,8,5.75,14.25,22,89.75
2013/11/06,CHA,TOR,W,32.4,77.4,0.422,4.2,15.8,0.2748,21.2,32.4,0.6456,11.4,29.2,40.6,17.8,7.4,6.2,13,21.4,90.2
2013/11/08,CHA,NYK,L,32.1666666666667,77.1666666666667,0.41966666666667,4.16666666666667,15.8333333333333,0.27066666666667,21.8333333333333,32,0.67683333333333,11.1666666666667,29.5,40.6666666666667,17,6.83333333333333,6.5,13.1666666666667,20.3333333333333,90.3333333333333
2013/11/11,CHA,ATL,L,32.2857142857143,77.7142857142857,0.41785714285714,4.28571428571429,15.4285714285714,0.287,22,31.5714285714286,0.69342857142857,11,29.5714285714286,40.5714285714286,17.7142857142857,6.42857142857143,5.57142857142857,13.2857142857143,20.8571428571429,90.8571428571429
2013/11/13,CHA,BOS,W,32,78.25,0.411375,4.125,15,0.282375,22.5,31.375,0.715125,11.125,30.625,41.75,17.5,6.625,5.5,13,20.75,90.625
2013/11/15,CHA,CLE,W,32,78.4444444444444,0.41011111111111,4.55555555555556,15.5555555555556,0.29544444444444,21.5555555555556,30.1111111111111,0.71344444444444,11.2222222222222,31.1111111111111,42.3333333333333,18.1111111111111,6.77777777777778,5.77777777777778,13.3333333333333,19.8888888888889,90.1111111111111
2013/11/16,CHA,MIA,L,31.7,78.9,0.404,4.9,16.7,0.2955,20.9,29.1,0.7171,11.1,30.6,41.7,18.3,6.6,5.5,12.8,19.9,89.2
