Date,Team,Opponent,W/L,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2013/10/30,PHI,MIA,W,43,80,0.538,8,21,0.381,20,24,0.833,8,32,40,24,16,1,18,21,114
2013/11/01,PHI,WAS,W,45.5,87,0.5245,7,22,0.321,13.5,19,0.6665,8.5,34.5,43,25,12,3.5,18.5,19,111.5
2013/11/02,PHI,CHI,W,44.3333333333333,86.6666666666667,0.51233333333333,8.33333333333333,22,0.38066666666667,13,18.6666666666667,0.66666666666667,9,32.6666666666667,41.6666666666667,24.6666666666667,10.6666666666667,4.33333333333333,17.3333333333333,18.6666666666667,110
2013/11/04,PHI,GSW,L,41,87,0.47225,7.5,22.75,0.3355,15.5,23.25,0.6555,10.25,34,44.25,23.25,10.25,4,19,18.5,105
2013/11/06,PHI,WAS,L,40.6,86.2,0.4718,7.2,21.8,0.335,16,23.8,0.6628,10.4,35,45.4,23.8,9.2,3.8,19.2,17.8,104.4
2013/11/08,PHI,CLE,W,40.5,85.8333333333333,0.4725,7.16666666666667,21.6666666666667,0.33466666666667,14.5,21.3333333333333,0.682,10.6666666666667,35,45.6666666666667,24,8.5,4.5,18.8333333333333,17.8333333333333,102.666666666667
2013/11/09,PHI,CLE,L,41.4285714285714,87.7142857142857,0.47285714285714,7.71428571428571,22.4285714285714,0.345,15.2857142857143,21.5714285714286,0.70885714285714,10.4285714285714,35,45.4285714285714,24,8.71428571428571,4.28571428571429,18.8571428571429,18.4285714285714,105.857142857143
2013/11/11,PHI,SAS,L,40.5,87,0.465625,7.375,22,0.33475,14.875,20.875,0.714,10.5,34.25,44.75,23.375,8.125,4.875,18.375,17.625,103.25
2013/11/13,PHI,HOU,W,40.7777777777778,88.7777777777778,0.46022222222222,7.77777777777778,22.3333333333333,0.34644444444444,16.1111111111111,22.3333333333333,0.71966666666667,11,34.3333333333333,45.3333333333333,24,8.55555555555556,5.22222222222222,17.7777777777778,18.2222222222222,105.444444444444
2013/11/15,PHI,ATL,L,40.7,88.5,0.4607,7.5,22,0.3381,16.3,22.4,0.726,10.8,33.9,44.7,23.7,8.3,5.1,17.6,18.3,105.2
2013/11/16,PHI,NOP,L,40.1818181818182,88,0.45718181818182,7.36363636363636,21.7272727272727,0.33609090909091,16.8181818181818,23.1818181818182,0.72454545454545,10.7272727272727,33.3636363636364,44.0909090909091,23,8.27272727272727,4.81818181818182,17.5454545454545,18.5454545454545,104.545454545455
2013/11/18,PHI,DAL,L,40,88.9166666666667,0.45108333333333,7.25,21.6666666666667,0.33191666666667,16.4166666666667,23.0833333333333,0.70958333333333,11.3333333333333,33.5,44.8333333333333,23.0833333333333,8.58333333333333,4.75,17.0833333333333,18.8333333333333,103.666666666667
2013/11/20,PHI,TOR,L,39.5384615384615,87.9230769230769,0.45076923076923,7.23076923076923,21.5384615384615,0.33330769230769,16.9230769230769,23.6923076923077,0.71207692307692,11.1538461538462,34.0769230769231,45.2307692307692,22.8461538461538,8.30769230769231,4.69230769230769,17.3076923076923,19.1538461538462,103.230769230769
2013/11/22,PHI,MIL,W,39.9285714285714,87.2857142857143,0.45928571428571,7.21428571428571,21.4285714285714,0.3345,17,24.0714285714286,0.70557142857143,11.0714285714286,34.5,45.5714285714286,23.6428571428571,8.28571428571429,4.64285714285714,17.9285714285714,19.6428571428571,104.071428571429
2013/11/23,PHI,IND,L,39.6,88.2666666666667,0.45153333333333,7,21.6666666666667,0.32286666666667,17.4666666666667,24.6,0.70853333333333,11.8666666666667,34.2666666666667,46.1333333333333,22.8,8.73333333333333,4.73333333333333,17.6666666666667,20.1333333333333,103.666666666667
2013/11/27,PHI,ORL,L,39.5,88.0625,0.45125,7,21.6875,0.3225625,17.0625,24.125,0.7046875,11.6875,34.0625,45.75,22.75,8.6875,4.6875,17.5,19.8125,103.0625
2013/11/29,PHI,NOP,L,39.6470588235294,88.2941176470588,0.45158823529412,7.29411764705882,22.2352941176471,0.32635294117647,16.5882352941176,23.9411764705882,0.68847058823529,12.0588235294118,33.8823529411765,45.9411764705882,23.0588235294118,8.52941176470588,4.64705882352941,17.5294117647059,19.7647058823529,103.176470588235
2013/12/01,PHI,DET,L,39.5555555555556,88.2777777777778,0.4505,7.27777777777778,22.2777777777778,0.32511111111111,16.6111111111111,23.6666666666667,0.69994444444444,11.7222222222222,33.9444444444444,45.6666666666667,23,8.88888888888889,4.77777777777778,17.6666666666667,20.1666666666667,103
2013/12/03,PHI,ORL,W,39.8947368421053,88.6842105263158,0.452,7.47368421052632,22.6315789473684,0.32794736842105,16.9473684210526,24.1578947368421,0.69978947368421,12.1578947368421,34.0526315789474,46.2105263157895,22.8421052631579,8.94736842105263,4.73684210526316,17.9473684210526,20.5263157894737,104.210526315789
2013/12/06,PHI,CHA,L,39.75,88.85,0.4495,7.4,22.85,0.32265,16.5,23.6,0.69555,12.1,34.3,46.4,22.75,8.7,4.7,17.8,20.5,103.4
